time,fluid_in,fluid_out,mass_blnc_pct,obs4_p,stim_p
-5,0,0,0,0,0
0,48024461.744004,48024461.744004,0,590942.30404966,590942.30404968
5,48024461.744004,48024462.243655,-1.0404084081797e-06,596932.66722967,610294.85647496
10,48024462.243655,48024462.743288,-1.0403716598801e-06,602956.90469607,616368.9331072
15,48024462.743288,48024463.242922,-1.0403737279507e-06,608979.42809204,622392.85293932
20,48024463.242922,48024463.742557,-1.0403770992086e-06,615001.97829991,628415.43488427
25,48024463.742557,48024464.242194,-1.0403802532685e-06,621024.53980804,634437.96303667
30,48024464.242194,48024464.741833,-1.0403842140633e-06,627047.09358463,640460.47741316
35,48024464.741833,48024465.241474,-1.040388516169e-06,633069.63580353,646482.97935335
40,48024465.241474,48024465.741117,-1.0403912358328e-06,639092.1657866,652505.46891079
45,48024465.741117,48024466.240761,-1.0403954758817e-06,645114.68341569,658527.94608902
50,48024466.240761,48024466.740407,-1.0403982420877e-06,651137.18867026,664550.41088851
55,48024466.740407,48024467.240054,-1.0404021718537e-06,657159.68154678,670572.86330938
60,48024467.240054,48024467.739704,-1.0404058378793e-06,663182.16204466,676595.30335169
